degree=1, radian=0.016602, cos=0.987305, sin=-0.172852
degree=2, radian=0.034180, cos=0.987305, sin=-0.172852
degree=3, radian=0.051758, cos=0.987305, sin=-0.172852
degree=4, radian=0.069336, cos=0.987305, sin=-0.172852
degree=5, radian=0.086914, cos=0.987305, sin=-0.172852
degree=6, radian=0.104492, cos=0.987305, sin=-0.172852
degree=7, radian=0.122070, cos=0.987305, sin=-0.172852
degree=8, radian=0.138672, cos=0.987305, sin=-0.172852
degree=9, radian=0.156250, cos=0.987305, sin=-0.172852
degree=10, radian=0.173828, cos=0.987305, sin=-0.172852
degree=11, radian=0.191406, cos=0.987305, sin=-0.172852
degree=12, radian=0.208984, cos=0.987305, sin=-0.172852
degree=13, radian=0.226563, cos=0.987305, sin=-0.172852
degree=14, radian=0.244141, cos=0.987305, sin=-0.172852
degree=15, radian=0.261719, cos=0.987305, sin=-0.172852
degree=16, radian=0.278320, cos=0.987305, sin=-0.172852
degree=17, radian=0.295898, cos=0.987305, sin=-0.172852
degree=18, radian=0.313477, cos=0.987305, sin=-0.172852
degree=19, radian=0.331055, cos=0.987305, sin=-0.172852
degree=20, radian=0.348633, cos=0.987305, sin=-0.172852
degree=21, radian=0.366211, cos=0.987305, sin=-0.172852
degree=22, radian=0.383789, cos=0.987305, sin=-0.172852
degree=23, radian=0.401367, cos=0.987305, sin=-0.172852
degree=24, radian=0.417969, cos=0.987305, sin=-0.172852
degree=25, radian=0.435547, cos=0.987305, sin=-0.172852
degree=26, radian=0.453125, cos=0.987305, sin=-0.172852
degree=27, radian=0.470703, cos=0.987305, sin=-0.172852
degree=28, radian=0.488281, cos=0.987305, sin=-0.172852
degree=29, radian=0.505859, cos=0.987305, sin=-0.172852
degree=30, radian=0.523438, cos=0.987305, sin=-0.172852
degree=31, radian=0.541016, cos=0.987305, sin=-0.172852
degree=32, radian=0.557617, cos=0.987305, sin=-0.172852
degree=33, radian=0.575195, cos=0.987305, sin=-0.172852
degree=34, radian=0.592773, cos=0.987305, sin=-0.172852
degree=35, radian=0.610352, cos=0.987305, sin=-0.172852
degree=36, radian=0.627930, cos=0.987305, sin=-0.172852
degree=37, radian=0.645508, cos=0.987305, sin=-0.172852
degree=38, radian=0.663086, cos=0.987305, sin=-0.172852
degree=39, radian=0.680664, cos=0.987305, sin=-0.172852
degree=40, radian=0.697266, cos=0.987305, sin=-0.172852
degree=41, radian=0.714844, cos=0.987305, sin=-0.172852
degree=42, radian=0.732422, cos=0.987305, sin=-0.172852
degree=43, radian=0.750000, cos=0.987305, sin=-0.172852
degree=44, radian=0.767578, cos=0.987305, sin=-0.172852
degree=45, radian=0.785156, cos=0.731445, sin=0.681641
degree=46, radian=0.802734, cos=0.731445, sin=0.681641
degree=47, radian=0.819336, cos=0.731445, sin=0.681641
degree=48, radian=0.836914, cos=0.731445, sin=0.681641
degree=49, radian=0.854492, cos=0.731445, sin=0.681641
degree=50, radian=0.872070, cos=0.731445, sin=0.681641
degree=51, radian=0.889648, cos=0.731445, sin=0.681641
degree=52, radian=0.907227, cos=0.731445, sin=0.681641
degree=53, radian=0.924805, cos=0.731445, sin=0.681641
degree=54, radian=0.942383, cos=0.731445, sin=0.681641
degree=55, radian=0.958984, cos=0.731445, sin=0.681641
degree=56, radian=0.976563, cos=0.731445, sin=0.681641
degree=57, radian=0.994141, cos=0.731445, sin=0.681641
degree=58, radian=1.011719, cos=0.731445, sin=0.681641
degree=59, radian=1.029297, cos=0.731445, sin=0.681641
degree=60, radian=1.046875, cos=0.731445, sin=0.681641
degree=61, radian=1.064453, cos=0.731445, sin=0.681641
degree=62, radian=1.082031, cos=0.731445, sin=0.681641
degree=63, radian=1.098633, cos=0.731445, sin=0.681641
degree=64, radian=1.116211, cos=0.731445, sin=0.681641
degree=65, radian=1.133789, cos=0.731445, sin=0.681641
degree=66, radian=1.151367, cos=0.731445, sin=0.681641
degree=67, radian=1.168945, cos=0.731445, sin=0.681641
degree=68, radian=1.186523, cos=0.731445, sin=0.681641
degree=69, radian=1.204102, cos=0.731445, sin=0.681641
degree=70, radian=1.221680, cos=0.731445, sin=0.681641
degree=71, radian=1.238281, cos=0.731445, sin=0.681641
degree=72, radian=1.255859, cos=0.322266, sin=0.941406
degree=73, radian=1.273438, cos=0.322266, sin=0.941406
degree=74, radian=1.291016, cos=0.322266, sin=0.941406
degree=75, radian=1.308594, cos=0.322266, sin=0.941406
degree=76, radian=1.326172, cos=0.322266, sin=0.941406
degree=77, radian=1.343750, cos=0.322266, sin=0.941406
degree=78, radian=1.361328, cos=0.322266, sin=0.941406
degree=79, radian=1.377930, cos=0.322266, sin=0.941406
degree=80, radian=1.395508, cos=0.322266, sin=0.941406
degree=81, radian=1.413086, cos=0.322266, sin=0.941406
degree=82, radian=1.430664, cos=0.322266, sin=0.941406
degree=83, radian=1.448242, cos=0.322266, sin=0.941406
degree=84, radian=1.465820, cos=0.322266, sin=0.941406
degree=85, radian=1.483398, cos=0.322266, sin=0.941406
degree=86, radian=1.500977, cos=0.078125, sin=0.989258
degree=87, radian=1.517578, cos=0.078125, sin=0.989258
degree=88, radian=1.535156, cos=0.078125, sin=0.989258
degree=89, radian=1.552734, cos=0.078125, sin=0.989258
